X,Y,OBJECTID,Name,County,Latitude,Longitude,Status,Date_Data_Refers_To,Comments,Source,Last_Modified_Date,ID,DWR_Regional_Office_,Elevation,Connect,Disconnect,Last_Modified_By
-121.187764000401,37.6452219997164,71,Modesto,Stanislaus,37.645222,-121.187764,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,71,SCRO,35,1987/06/25 00:00:00+00,Active,"AU, GDSS"
-114.723000000209,33.3880000002836,72,Palo Verde,Imperial,33.388,-114.723,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,72,SRO,230,1987/09/08 00:00:00+00,12/20/2000,"AU, GDSS"
-118.318000000193,34.1470000000507,73,Hollywood Hills,Los Angeles,34.147,-118.318,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,73,SRO,560,1988/03/04 00:00:00+00,9/14/1993,"AU, GDSS"
-116.973000000345,33.0900000003706,74,Escondido,San Diego,33.09,-116.973,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,74,SRO,450,1988/04/26 00:00:00+00,12/24/1998,"AU, GDSS"
-117.721177999602,33.6884499996488,75,Irvine,Orange,33.68845,-117.721178,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,75,SRO,410,1987/10/07 00:00:00+00,Active,"AU, GDSS"
-120.512000000189,34.9240000002588,76,Betteravia,Santa Barbara,34.924,-120.512,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,76,SRO,160,1987/12/18 00:00:00+00,7/1/1993,"AU, GDSS"
-122.410205999823,38.4284750003212,77,Oakville,Napa,38.428475,-122.410206,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,77,NCRO,199,1989/03/01 00:00:00+00,Active,"AU, GDSS"
-117.813069000244,34.0565889998213,78,Pomona,Los Angeles,34.056589,-117.813069,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,78,SRO,720,1989/03/14 00:00:00+00,Active,"AU, GDSS"
-122.42099999997,38.5489999996986,79,Angwin,Napa,38.549,-122.421,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,79,NCRO,1720,1989/05/11 00:00:00+00,12/27/1996,"AU, GDSS"
-119.742308000258,36.820832999991,80,Fresno State,Fresno,36.820833,-119.742308,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,80,SCRO,339,1988/10/03 00:00:00+00,Active,"AU, GDSS"
-120.804000000084,38.5230000003189,81,Shenandoah Valley,Amador,38.523,-120.804,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,81,NCRO,1550,1990/05/11 00:00:00+00,5/17/2000,"AU, GDSS"
-117.695999999954,34.13000000004,82,Claremont,Los Angeles,34.13,-117.696,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,82,SRO,1620,1989/04/13 00:00:00+00,9/26/2007,"AU, GDSS"
-122.799931000277,38.4035500003105,83,Santa Rosa,Sonoma,38.40355,-122.799931,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,83,NCRO,80,1990/01/01 00:00:00+00,Active,"AU, GDSS"
-121.315668999773,39.2525610001282,84,Browns Valley,Yuba,39.252561,-121.315669,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,84,NCRO,940,1989/04/13 00:00:00+00,Active,"AU, GDSS"
-123.080121999874,39.0067469998393,85,Hopland,Mendocino,39.006747,-123.080122,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,85,NCRO,1128,1989/09/23 00:00:00+00,4/25/2016,"AU, GDSS"
-119.059344000349,36.3606469996737,86,Lindcove,Tulare,36.360647,-119.059344,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,86,SCRO,474,1989/05/31 00:00:00+00,12/3/2020,"AU, GDSS"
-115.446257999561,32.8061829999143,87,Meloland,Imperial,32.806183,-115.446258,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,87,SRO,-55,1989/12/12 00:00:00+00,Active,"AU, GDSS"
-119.673800000035,34.9425249997624,88,Cuyama,Santa Barbara,34.942525,-119.6738,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,88,SRO,2192,1989/05/20 00:00:00+00,Active,"AU, GDSS"
-121.529300000333,36.60944400007,89,Salinas South,Monterey,36.609444,-121.5293,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,89,SCRO,160,1992/09/05 00:00:00+00,9/25/2012,"AU, GDSS"
-120.480308000209,41.4382140002463,90,Alturas,Modoc,41.438214,-120.480308,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,90,NRO,4405,1989/04/23 00:00:00+00,Active,"AU, GDSS"
-121.47237200008,41.958869000222,91,Tulelake FS,Siskiyou,41.958869,-121.472372,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,91,NRO,4035,1989/04/12 00:00:00+00,Active,"AU, GDSS"
-120.880819000414,37.2318610001014,92,Kesterson,Merced,37.231861,-120.880819,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,92,SCRO,75,1989/10/13 00:00:00+00,10/11/2021,"AU, GDSS"
-118.92900000042,35.2859999996983,93,Lamont,Kern,35.286,-118.929,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,93,SCRO,382,1990/02/04 00:00:00+00,10/3/1994,"AU, GDSS"
-119.869483999708,34.4715790001142,94,Goleta Foothills,Santa Barbara,34.471579,-119.869484,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,94,SRO,626,1990/07/07 00:00:00+00,7/18/2016,"AU, GDSS"
-121.80899999966,36.8859999999371,95,Watsonville,Santa Cruz,36.886,-121.809,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,95,SCRO,100,1989/09/13 00:00:00+00,7/24/1995,"AU, GDSS"
-122.279999999987,37.4530000002116,96,Woodside,San Mateo,37.453,-122.28,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,96,NCRO,560,1990/10/31 00:00:00+00,1/24/1994,"AU, GDSS"
-119.200000000375,34.1730000001643,97,Port Hueneme,Ventura,34.173,-119.2,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,97,SRO,18,1991/02/16 00:00:00+00,7/31/2000,"AU, GDSS"
